,NAME,FG%,FT%,3PM,REB,AST,STL,BLK,TO,PTS,SCORE
JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31),The Dazzling Lobcity Stars (3-10),.4895,.6737,44,125,83,15,15,46,434,4-5-0
JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31),Center City ABDs (5-8),.4110,.8208,59,141,104,24,14,60,474,3-6-0
JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31),Players Only Meeting (8-4-1),.4748,.8189,68,171,97,28,35,64,586,6-3-0
JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31),Team Rocket (8-5),.4613,.7174,43,157,95,21,14,43,431,2-7-0
JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31),Too Easy (9-4),.4409,.7500,66,208,155,26,24,85,562,7-2-0
JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31),Nerlens Jazz (3-10),.4886,.8841,42,160,103,35,19,58,508,7-2-0
JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31),The Real Power (7-6),.4710,.7816,23,159,104,29,12,47,383,2-7-0
JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31),Ithaca is Gorges (7-6),.5140,.7900,57,218,148,37,35,61,540,7-2-0
JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31),Team Orbs (7-6),.4909,.8175,31,177,103,22,14,51,512,2-7-0
JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31),Mr Steal  Your Ball (4-7-2),.4708,.8267,35,152,85,27,18,32,371,4-4-1
JaVale Vindicated Scoreboard Matchup 11 (Dec 25 - 31),Da Bulter is in Town (7-5-1),.4225,.7955,49,128,91,28,18,40,470,4-4-1

,NAME,FG%,FT%,3PM,REB,AST,STL,BLK,TO,PTS,SCORE
JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7),The Dazzling Lobcity Stars (3-10),.4406,.7407,30,135,71,29,16,46,342,3-6-0
JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7),Team Rocket (8-5),.4497,.7912,39,146,113,23,14,53,415,6-3-0
JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7),Center City ABDs (5-8),.4220,.8898,40,111,89,23,15,67,445,1-8-0
JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7),Old City Irony (8-5),.5062,.7500,41,161,113,32,19,60,531,8-1-0
JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7),Players Only Meeting (8-4-1),.4516,.8652,57,157,79,29,20,61,470,5-3-1
JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7),Nerlens Jazz (3-10),.4887,.8966,33,135,105,24,20,65,439,3-5-1
JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7),Too Easy (9-4),.4454,.6897,40,160,98,22,21,56,402,6-3-0
JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7),Ithaca is Gorges (7-6),.4407,.8313,25,166,82,25,14,57,354,3-6-0
JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7),The Real Power (7-6),.5042,.7982,50,185,101,36,23,58,503,7-2-0
JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7),Mr Steal  Your Ball (4-7-2),.4906,.8542,30,118,61,27,15,38,331,2-7-0
JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7),Team Orbs (7-6),.5000,.8333,35,177,114,23,6,56,497,6-3-0
JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7),Da Bulter is in Town (7-5-1),.4677,.8776,22,89,46,13,7,18,239,3-6-0

,NAME,FG%,FT%,3PM,REB,AST,STL,BLK,TO,PTS,SCORE
JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14),Ithaca is Gorges (7-6),.5065,.7113,38,211,137,41,30,88,499,7-2-0
