"Week Name","Matchup Number","NAME","FG%","FT%","3PM","REB","AST","STL","BLK","TO","PTS","SCORE"
"JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7)","2","Center City ABDs (7-12)",".4220",".8898","40","111","89","23","15","67","445","1-8-0"
"JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7)","2","Old City Irony (11-7-1)",".5062",".7500","41","161","113","32","19","60","531","8-1-0"
"JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7)","3","Players Only Meeting (13-5-1)",".4516",".8652","57","157","79","29","20","61","470","5-3-1"
"JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7)","3","Nerlens Jazz (5-13-1)",".4887",".8966","33","135","105","24","20","65","439","3-5-1"
"JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7)","4","Too Easy (10-9)",".4454",".6897","40","160","98","22","21","56","402","6-3-0"
"JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7)","4","Ithaca is Gorges (9-10)",".4407",".8313","25","166","82","25","14","57","354","3-6-0"
"JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7)","5","The Real Power (11-8)",".5042",".7982","50","185","101","36","23","58","503","7-2-0"
"JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7)","5","Mr Steal  Your Ball (8-9-2)",".4906",".8542","30","118","61","27","15","38","331","2-7-0"
"JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7)","6","Team Orbs (11-8)",".5000",".8333","35","177","114","23","6","56","497","6-3-0"
"JaVale Vindicated Scoreboard Matchup 12 (Jan 1 - 7)","6","Da Bulter is in Town (9-9-1)",".4677",".8776","22","89","46","13","7","18","239","3-6-0"
"JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14)","1","Ithaca is Gorges (9-10)",".5065",".7113","38","211","137","41","30","88","499","7-2-0"
"JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14)","1","The Dazzling Lobcity Stars (4-15)",".4759",".7313","37","126","65","26","6","55","362","2-7-0"
"JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14)","2","Old City Irony (11-7-1)",".4495",".8397","32","158","112","35","15","56","498","4-5-0"
"JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14)","2","Team Rocket (13-6)",".4817",".7130","37","191","90","27","24","53","461","5-4-0"
"JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14)","3","Nerlens Jazz (5-13-1)",".5026",".8190","59","139","98","43","15","65","537","5-4-0"
"JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14)","3","Center City ABDs (7-12)",".4274",".8241","30","148","89","30","18","61","419","4-5-0"
"JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14)","4","Mr Steal  Your Ball (8-9-2)",".4653",".7342","40","174","60","31","24","50","406","4-4-1"
"JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14)","4","Players Only Meeting (13-5-1)",".4394",".7692","47","148","58","31","26","56","465","4-4-1"
"JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14)","5","Da Bulter is in Town (9-9-1)",".4286",".8364","29","131","73","25","5","40","303","5-4-0"
"JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14)","5","Too Easy (10-9)",".4196",".8409","18","127","78","14","16","31","269","4-5-0"
"JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14)","6","Team Orbs (11-8)",".4357",".7451","25","173","115","23","14","53","433","2-7-0"
"JaVale Vindicated Scoreboard Matchup 13 (Jan 8 - 14)","6","The Real Power (11-8)",".4605",".7669","44","183","109","34","20","62","496","7-2-0"
"JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21)","1","The Dazzling Lobcity Stars (4-15)",".4549",".8219","33","113","80","10","10","42","355","6-2-1"
"JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21)","1","Da Bulter is in Town (9-9-1)",".4510",".8276","28","73","46","22","10","47","260","2-6-1"
"JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21)","2","Nerlens Jazz (5-13-1)",".4635",".7565","24","131","96","37","16","51","403","4-4-1"
"JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21)","2","Old City Irony (11-7-1)",".4405",".7315","43","174","96","20","17","55","470","4-4-1"
"JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21)","3","Team Rocket (13-6)",".4910",".7500","48","180","96","34","26","41","513","5-4-0"
"JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21)","3","Ithaca is Gorges (9-10)",".4667",".8182","44","201","112","37","23","52","465","4-5-0"
"JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21)","4","Center City ABDs (7-12)",".4665",".8721","39","148","88","27","21","40","462","4-5-0"
"JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21)","4","Mr Steal  Your Ball (8-9-2)",".4420",".7595","44","182","79","49","22","55","470","5-4-0"
"JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21)","5","Players Only Meeting (13-5-1)",".4909",".7891","69","165","78","39","24","49","602","8-1-0"
"JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21)","5","Team Orbs (11-8)",".4506",".7030","21","158","115","29","6","69","384","1-8-0"
"JaVale Vindicated Scoreboard Matchup 14 (Jan 15 - 21)","6","Too Easy (10-9)",".4973",".7596","48","181","113","27","21","81","493","4-5-0"
